,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
178,Chang Jin,https://www.lens.org/lens/orcid/0000-0002-0706-0415/scholar,1,100%,-,0,0,[''],no current information
179,Li Shubin,https://www.lens.org/lens/orcid/0000-0002-1744-7533/scholar,1,100%,1,6,0,"['Biology , Cancer research , Enzyme activator activity , Extracellular matrix protein 1 , Extracellular matrix structural constituent , Glycosaminoglycan binding , Peptidase activator activity , Peptidase regulator activity , Protease binding , Sulfur compound binding']","Southern Branch of Guang’anmen Hospital, China Academy of Chinese Medical Sciences"
180,Sun Tao,https://www.lens.org/lens/orcid/0000-0002-9599-7194/scholar,2,100%,-,0,0,"['Hemifacial spasm , Medicine , Anesthesia , Carbamazepine , Dermatology , Epilepsy , Facial nerve , Glossopharyngeal nerve , Hypoesthesia , Internal medicine']",no current information
181,Huizhuo Cao,https://www.lens.org/lens/orcid/0000-0001-8477-9063/scholar,1,-,-,0,0,"['Completeness (statistics) , Convergence (routing) , Intelligent transportation system , Mathematical optimization , Mode (statistics) , Simulation , Time distance , Value (mathematics) , Value of time']","School of Economics and Management, Ph D Candidate"
182,Hannah M.J. Vos,https://www.lens.org/lens/orcid/0000-0002-6162-9625/scholar,7,57%,4,493,0,"['Earthworm , Biology , Phosphorus , Agronomy , Chemistry , Environmental science , Nutrient , Organic chemistry , Bulk soil , Ecology']",no current information
183,Peter Schuster,https://www.lens.org/lens/orcid/0000-0002-2253-8827/scholar,94,67%,11,"1,034",1,"['Computer science , Mathematics , Biology , Physics , Evolutionary biology , Medicine , Philosophy , Chemistry , Applied mathematics , Artificial intelligence']",University of Vienna
184,Sanwen Huang,https://www.lens.org/lens/orcid/0000-0002-8547-5309/scholar,160,97%,60,"18,806",232,"['Biology , Genetics , Gene , Genome , Botany , Cucumis , Computational biology , Population , Genomics , Locus (genetics)']",Chinese Academy of Tropical Agricultural Sciences
185,Shang-Yi Huang,https://www.lens.org/lens/orcid/0000-0001-5688-3410/scholar,66,64%,35,"3,952",34,"['Internal medicine , Medicine , Biology , Myeloid leukemia , Leukemia , Oncology , Gastroenterology , Immunology , Bone marrow , Cancer research']",National Taiwan University College of Medicine
186,Yinying Yao,https://www.lens.org/lens/orcid/0000-0002-9545-6582/scholar,2,50%,1,82,6,"['Computational biology , Active site , Alternative strategy , Biology , Chemistry , Cytochrome , Cytochrome P450 , Enzyme , Gene redundancy , Metabolic engineering']",no current information
187,Izquierdo Alonso José L,https://www.lens.org/lens/orcid/0000-0002-1671-2243/scholar,12,100%,4,231,0,"['Medicine , Internal medicine , COPD , Population , Coronavirus disease 2019 (COVID-19) , Environmental health , Pneumonia , Asthma , Comorbidity , Disease']",Hospital Universitario de Guadalajara
188,SUMANA MUKHERJEE,https://www.lens.org/lens/orcid/0000-0003-4310-1816/scholar,2,-,1,6,0,"['Geography , Socioeconomics , West bengal , Agricultural diversification , Agricultural economics , Agriculture , Archaeology , BENGAL , Bay , Business']",ASANSOL GIRLS' COLLEGE
189,CHEN SHU,https://www.lens.org/lens/orcid/0000-0002-7001-7735/scholar,4,50%,2,11,0,"['Computer science , Construction engineering , Exposure assessment , Hazard , Moment (mathematics) , Process (engineering) , Roller-compacted concrete , Scope (project management) , Space (commercial competition) , Work space']",China Three Gorges University
190,Wenliang,https://www.lens.org/lens/orcid/0000-0001-9228-7958/scholar,2,100%,2,16,0,"['Endocrinology , Internal medicine , Antibiotics , Aryl hydrocarbon receptor , Bacteria , Chemistry , Clostridiaceae , Fatty acid metabolism , Gene , Gene expression']",no current information
191,Junfang,https://www.lens.org/lens/orcid/0000-0002-2057-9019/scholar,0,-,-,0,0,[''],Ruprecht Karls Universität Heidelberg Medizinische Fakultät Mannheim
192,"Liqiong Guo, Li-qiong Guo, Guo Liqiong",https://www.lens.org/lens/orcid/0000-0002-1141-9646/scholar,38,100%,14,520,0,"['Medicine , Environmental chemistry , Biology , Environmental science , Internal medicine , Methylation , Chemistry , DNA methylation , Fine particulate , Epigenetics']",Tianjin University
193,Xiaorong Liu,https://www.lens.org/lens/orcid/0000-0002-8912-5066/scholar,11,45%,8,371,9,"['Biology , Cancer research , Cancer , Cancer cell , Chemistry , Gene knockdown , Biochemistry , Cisplatin , DNA damage , Escherichia coli']",Shenzhen Children's Hospital
194,Yun Fan,https://www.lens.org/lens/orcid/0000-0003-4482-1524/scholar,0,-,-,0,0,[''],RILM
195,Jef Boeke,https://www.lens.org/lens/orcid/0000-0001-5322-4946/scholar,290,90%,81,"25,162",476,"['Biology , Genetics , Gene , Genome , Computational biology , Saccharomyces cerevisiae , Retrotransposon , Cell biology , Biochemistry , Transposable element']",NYU School of Medicine
196,Leslie Mitchell,https://www.lens.org/lens/orcid/0000-0001-7869-9817/scholar,62,86%,26,"3,232",46,"['Biology , Genetics , Genome , Computational biology , Gene , Saccharomyces cerevisiae , Chromosome , History , Philosophy , DNA']",no current information
197,Joe,https://www.lens.org/lens/orcid/0000-0002-0787-9017/scholar,2,-,1,2,0,"['Class (computer programming) , Comprehension , Data collection , Field (computer science) , Grammar , Humanities , Mathematics education , Philosophy , Psychology , Reading comprehension']",no current information
198,Joel Bader,https://www.lens.org/lens/orcid/0000-0002-6020-4625/scholar,107,76%,46,"18,119","2,590","['Biology , Genetics , Computational biology , Gene , Genome , Computer science , Cell biology , Chemistry , Chromosome , DNA']",Johns Hopkins University
199,Wojciech Bal,https://www.lens.org/lens/orcid/0000-0003-2964-1840/scholar,8,-,2,20,0,"['Architecture , Tourism , Cultural landscape , Geography , Recreation , Sociology , Archaeology , Architectural engineering , Biology , Environmental planning']",West Pomeranian University of Technology
200,Joseph Kopera,https://www.lens.org/lens/orcid/0000-0002-2435-5266/scholar,0,-,-,0,0,[''],University of Massachusetts Amherst
201,Artur Krężel,https://www.lens.org/lens/orcid/0000-0001-9252-5784/scholar,71,67%,25,"2,096",4,"['Chemistry , Biochemistry , Biophysics , Biology , Zinc , Crystallography , Metallothionein , Binding site , Gene , Metal']",University of Wrocław
202,Aleksandra Wysłouch Cieszyńska,https://www.lens.org/lens/orcid/0000-0002-7006-2456/scholar,26,85%,15,993,24,"['Chemistry , Biochemistry , Biology , Biosensor , Cell biology , Protein structure , S-Nitrosylation , Thiol , Analytical chemistry , Cap binding complex']","Institute of Biochemistry and Biophysics, Polish Academy of Sciences"
203,Joel Weinstock,https://www.lens.org/lens/orcid/0000-0002-9968-4697/scholar,24,75%,3,42,0,"['Medicine , Biology , Disease , Internal medicine , Gastroenterology , Helminths , Immunology , Inflammatory bowel disease , Biochemistry , Chemotherapy']",no current information
204,Christopher Wilson,https://www.lens.org/lens/orcid/0000-0002-2336-5358/scholar,0,-,-,0,0,[''],Christopher Wilson & Associates
205,Dusan Hesek,https://www.lens.org/lens/orcid/0000-0001-6288-8824/scholar,10,71%,4,81,0,"['Biochemistry , Chemistry , Biology , Cell wall , Bacteria , Peptidoglycan , Bacterial cell structure , Enzyme , Genetics , Gene']",no current information
206,SERHAN ŞALK,https://www.lens.org/lens/orcid/0000-0002-3102-7930/scholar,0,-,-,0,0,[''],"History, PhD Student"
207,Ingo,https://www.lens.org/lens/orcid/0000-0002-0635-3507/scholar,4,100%,1,10,0,"['Biology , Cell biology , Clinical trial , Computational biology , Gene , Genetic enhancement , Medicine , Viral vector , Adverse effect , Bioinformatics']",Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt
208,Sophie-Anne Beauprez,https://www.lens.org/lens/orcid/0000-0002-2113-509X/scholar,3,33%,2,20,0,"['Psychology , Cognitive psychology , Verb , Action (philosophy) , Action (physics) , Active listening , Affect (psychology) , Biological motion , Cognition , Combinatorics']",no current information
209,pieter coussement,https://www.lens.org/lens/orcid/0000-0002-5707-9667/scholar,10,30%,8,300,11,"['Biology , Computational biology , Metabolic engineering , Biotechnology , Synthetic biology , Gene , Gene cluster , Genetics , Genome editing , Golden gate']",no current information
210,Guido M. Peters,https://www.lens.org/lens/orcid/0000-0002-9035-4982/scholar,6,100%,2,14,0,"['Medicine , Emergency medicine , Health care , Internal medicine , Psychological intervention , Cochrane Library , Economic growth , Economics , Meta-analysis , Nursing']",University of Twente
211,Dr. Florian Juen,https://www.lens.org/lens/orcid/0000-0002-1298-1382/scholar,16,69%,7,100,0,"['Psychology , Developmental psychology , Medicine , Clinical psychology , Gynecology , Healthy individuals , Projective test , Cancer , Ethnic group , Injury prevention']",no current information
212,Xiaoyin Wang,https://www.lens.org/lens/orcid/0000-0002-9079-5534/scholar,43,90%,12,510,0,"['Computer science , Artificial intelligence , Software , Biology , Physics , Computer security , Operating system , Biochemistry , Medicine , Optics']",no current information
213,Tianyun Wang,https://www.lens.org/lens/orcid/0000-0002-0793-1006/scholar,34,74%,9,217,13,"['Biology , Chinese hamster ovary cell , Gene , Cell biology , Transfection , Cell culture , Genetics , Transgene , Chemistry , Molecular biology']",no current information
214,Wang Fang,https://www.lens.org/lens/orcid/0000-0002-6229-0790/scholar,3,33%,3,184,0,"['Medicine , Eye disease , Ophthalmology , Uveitis , Central nervous system disease , Choroid , Clinical research , Dermatology , Disease , Epidemiology']",深圳市儿童医院
215,Bao-Guo Xiao,https://www.lens.org/lens/orcid/0000-0003-3335-8992/scholar,10,90%,6,68,0,"['Chemistry , Pharmacology , Remyelination , Cell biology , Fasudil , Ciliary neurotrophic factor , Luxol fast blue stain , Medicine , Microglia , Myelin basic protein']",no current information
216,qin chuan,https://www.lens.org/lens/orcid/0000-0002-7848-897X/scholar,8,100%,6,124,0,"['Biology , Spinal cord injury , Medicine , Cochrane Library , Computational biology , Downregulation and upregulation , Fold change , Gene , Genetics , Internal medicine']","Beijing Friendship Hospital, Capital Medical University"
217,Xianjun Yang,https://www.lens.org/lens/orcid/0000-0003-3318-8444/scholar,1,100%,1,9,0,"['Boiling , Combustion , Drop (liquid) , Evaporation , Explosive material , Leidenfrost effect , Materials science , Mechanics , Oil droplet , Superheating']",no current information
218,ZHIQI MIAO,https://www.lens.org/lens/orcid/0000-0003-1168-3655/scholar,1,-,1,7,0,"['Biochemistry , Bioproduction , Chemistry , Enzyme , Fusion protein , Patchoulol , Plastid , Synthetic biology , Terminator (genetics) , Terpenoid']",no current information
219,Meihui Xu,https://www.lens.org/lens/orcid/0000-0002-2712-3241/scholar,5,100%,5,189,13,"['Biology , Dengue virus , Virology , Antibody , Antibody-dependent enhancement , Dengue fever , Virus , Epitope , Immunology , Monoclonal antibody']",no current information
220,Yaojie Zhang,https://www.lens.org/lens/orcid/0000-0002-4220-1623/scholar,78,69%,23,"1,607",0,"['Econometrics , Economics , Volatility (finance) , Financial economics , Predictability , Crude oil , Autoregressive model , Engineering , Mathematics , Computer science']",Nanjing University of Science and Technology
221,Kexuan Tang,https://www.lens.org/lens/orcid/0000-0002-2181-3727/scholar,2,-,2,18,0,"['Basis (linear algebra) , Computer science , Control theory , Field tests , Harmonic , Assessment methods , Electric power system , Estimation theory , Identification (information) , Monitoring system']",no current information
222,Santosh Aryal,https://www.lens.org/lens/orcid/0000-0001-7999-9491/scholar,4,75%,2,19,0,"['Medicine , Environmental health , Cochrane Library , Community health workers , Confidence interval , Coping (psychology) , Denial , Descriptive statistics , Disadvantaged , Disease pathogenesis']",CARE Nepal
223,Arunkumar Pitchaimani,https://www.lens.org/lens/orcid/0000-0003-2664-7913/scholar,3,33%,3,125,0,"['Surface plasmon resonance , Biophysics , Chemistry , Nanorod , Photothermal therapy , Acridine orange , Colloidal gold , Conjugate , Conjugated system , Distribution (pharmacology)']",no current information
224,Tuyến Nguyễn,https://www.lens.org/lens/orcid/0000-0003-3813-7187/scholar,2,-,2,25,0,"['Raw material , Absorption (chemistry) , Bagasse , Bayer process , Bentonite , Bottom ash , Compressive strength , Environmental science , Fly ash , Geopolymer']",Ho Chi Minh City University of Food Industry
225,lili geng,https://www.lens.org/lens/orcid/0000-0002-4324-9047/scholar,1,100%,-,0,0,"['Agronomy , Algorithm , Artificial intelligence , Artificial neural network , Biology , Computer science , Computer vision , Convolution (computer science) , Convolutional neural network , Filter (signal processing)']",no current information
226,Chi Jing,https://www.lens.org/lens/orcid/0000-0002-0918-1931/scholar,1,100%,-,0,0,"['Anesthesia , Anesthesiology , Cardiology , Closure (psychology) , Economics , Effusion , Market economy , Medicine , Pain medicine , Pericardial effusion']",no current information
227,Changlong Shu,https://www.lens.org/lens/orcid/0000-0002-6118-9981/scholar,67,97%,16,700,31,"['Biology , Bacillus thuringiensis , Gene , Microbiology , Genetics , Biochemistry , Chemistry , Toxin , Bacteria , Bioassay']",Chinese Academy of Agricultural Sciences Institute of Plant Protection
228,Fuping Song,https://www.lens.org/lens/orcid/0000-0003-3740-4730/scholar,3,100%,1,4,0,"['Bacillus thuringiensis , Gene , Bacillus subtilis , Biology , Cell biology , Mutant , Spore , Bacillus cereus , Bacteria , Biochemistry']",no current information
229,Mark Grinstaff,https://www.lens.org/lens/orcid/0000-0002-5453-3668/scholar,386,63%,76,"20,262",995,"['Chemistry , Materials science , Nanotechnology , Polymer chemistry , Polymer , Medicine , Biomedical engineering , Organic chemistry , Biochemistry , Drug delivery']",Boston University
230,Michael Wong,https://www.lens.org/lens/orcid/0000-0002-8491-4787/scholar,2,-,1,10,0,"['Anticipation (artificial intelligence) , Artificial intelligence , Computer science , Curriculum , Flexibility (engineering) , Mathematics , Mathematics education , Neuroscience , Operating system , Pedagogy']",McMaster University
231,Debra Sandford,https://www.lens.org/lens/orcid/0000-0003-2454-3459/scholar,8,88%,3,83,0,"['Medicine , Anxiety , Clinical psychology , Depression (differential diagnoses) , Mental health , Anticipatory grief , Grief , Distress , Family medicine , Idiopathic pulmonary fibrosis']",Royal Adelaide Hospital
232,Kenneth Suslick,https://www.lens.org/lens/orcid/0000-0001-5422-0701/scholar,319,34%,96,"38,838","1,035","['Chemistry , Materials science , Chemical engineering , Sonochemistry , Nanotechnology , Cavitation , Porphyrin , Sonoluminescence , Analytical chemistry , Bubble']",no current information
233,xiaochuan zhou,https://www.lens.org/lens/orcid/0000-0003-4218-3303/scholar,2,-,2,17,0,"['Computer science , Automotive engineering , Coupling , Decision model , Energy consumption , Game theory , Hydraulic machinery , Mathematical optimization , Motion (physics) , Object detection']",no current information
234,Xiaolin ZHENG,https://www.lens.org/lens/orcid/0000-0001-5483-0366/scholar,16,85%,4,65,0,"['Computer science , Artificial intelligence , Machine learning , Recommender system , Data mining , Finance , Information retrieval , Business , Classifier (UML) , Embedding']",no current information
235,Sheng-sheng,https://www.lens.org/lens/orcid/0000-0001-8044-1444/scholar,6,67%,2,73,0,"['Geology , Biology , Geochemistry , Oceanography , Algorithm , Andesite , Andesites , Asthenosphere , Basalt , Blood–brain barrier']",China University of Geosciences Beijing School of Science
236,Qi-Qi Zhu,https://www.lens.org/lens/orcid/0000-0001-5313-174X/scholar,6,83%,2,15,0,"['Materials science , Metallurgy , Ceramic , Alloy , Composite material , Microstructure , Physics , Grain growth , Nanotechnology , Spark plasma sintering']",no current information
237,Xiaolin Zhang,https://www.lens.org/lens/orcid/0000-0002-5378-9637/scholar,4,100%,4,209,1,"['Chitin , Materials science , Nanofiber , Composite material , Amyloid beta , Biological materials , Chemical engineering , Chemistry , Chitosan , Colocalization']",no current information
238,xiaochuan zhou,https://www.lens.org/lens/orcid/0000-0003-4218-3303/scholar,2,-,2,17,0,"['Computer science , Automotive engineering , Coupling , Decision model , Energy consumption , Game theory , Hydraulic machinery , Mathematical optimization , Motion (physics) , Object detection']",no current information
239,Sheng-sheng,https://www.lens.org/lens/orcid/0000-0001-8044-1444/scholar,6,67%,2,73,0,"['Geology , Biology , Geochemistry , Oceanography , Algorithm , Andesite , Andesites , Asthenosphere , Basalt , Blood–brain barrier']",China University of Geosciences Beijing School of Science
240,Andreas Hofmann,https://www.lens.org/lens/orcid/0000-0002-8551-2616/scholar,1,-,1,2,0,"['Acoustics , Algorithm , Artificial intelligence , Computer science , Electronic engineering , Engineering , Image (mathematics) , Modulation (music) , Noise (video) , Phase noise']",Friedrich-Alexander-Universität Erlangen-Nürnberg
241,Norbert Danz,https://www.lens.org/lens/orcid/0000-0002-8927-9284/scholar,61,85%,19,"1,522",15,"['Materials science , Optics , Optoelectronics , OLED , Photonic crystal , Surface wave , Biosensor , Surface plasmon resonance , Fluorescence , Diode']",Fraunhofer-Institut für Angewandte Optik und Feinmechanik
242,Silke Hofmann,https://www.lens.org/lens/orcid/0000-0002-4221-386X/scholar,"1,550",44%,4,150,0,"['Medicine , Internal medicine , Computer science , Biology , Dermatology , Psychology , Pathology , Chemistry , Disease , Genetics']",no current information
243,Wilhelm Keusgen,https://www.lens.org/lens/orcid/0000-0002-2335-8270/scholar,10,100%,2,9,0,"['Channel (broadcasting) , Computer science , Engineering , Electronic engineering , Physics , Telecommunications , Acoustics , Electrical engineering , Extremely high frequency , Geology']",Technische Universität Berlin
244,Peter Magdolen,https://www.lens.org/lens/orcid/0000-0001-5188-5388/scholar,23,32%,10,303,22,"['Chemistry , Photochemistry , Conjugated system , Organic chemistry , Benzothiazole , Combinatorial chemistry , Molecule , Thiazole , Singlet oxygen , Acceptor']",no current information
245,Xiaoyou WANG,https://www.lens.org/lens/orcid/0000-0002-4588-2460/scholar,7,86%,5,71,0,"[""Computer science , Bayesian inference , Damage detection , Artificial intelligence , Biological system , Data mining , Laplace's method , Noise (signal processing) , Nonlinear system , Sampling (statistics)""]",no current information
246,Dengfeng xu,https://www.lens.org/lens/orcid/0000-0002-1887-6460/scholar,16,93%,4,47,0,"['Medicine , Internal medicine , Biology , Chemistry , Biochemistry , Food science , Cochrane Library , Endocrinology , Gastroenterology , Cholesterol']",no current information
247,Dajun Du,https://www.lens.org/lens/orcid/0000-0003-2979-1507/scholar,140,63%,19,"1,311",2,"['Computer science , Control theory , Artificial intelligence , Algorithm , Control system , Electric power system , Mathematical optimization , Network packet , Distributed computing , Engineering']",Shanghai University
248,Eugene Kim,https://www.lens.org/lens/orcid/0000-0003-0066-7051/scholar,43,88%,14,658,1,"['Medicine , Magnetic resonance imaging , Biology , Neuroscience , In vivo , Pathology , Nuclear medicine , Angiogenesis , Breast cancer , Diffusion MRI']",King's College London
249,Baosheng Ge,https://www.lens.org/lens/orcid/0000-0001-9906-2081/scholar,74,51%,21,"1,179",21,"['Chemistry , Biochemistry , Biology , Biophysics , Membrane , Escherichia coli , Chromatography , Chemokine receptor , Fluorescence , Crystallography']",China University of Petroleum Huadong - Qingdao Campus
250,Yu Qian,https://www.lens.org/lens/orcid/0000-0002-6666-5414/scholar,1,-,1,2,0,"['Coring , Environmental remediation , Geology , Hydrology , Radionuclide , Sediment , Sedimentary budget , Silt fence , Water quality , Watershed']",Montclair State University College of Science and Mathematics
251,James Collins,https://www.lens.org/lens/orcid/0000-0003-3212-5927/scholar,55,74%,35,"4,261",276,"['Biology , Virology , Porcine reproductive and respiratory syndrome virus , Microbiology , Virus , Antibody , Diarrhea , Herd , Feces , Genetics']",no current information
252,Wang Long,https://www.lens.org/lens/orcid/0000-0003-4927-2413/scholar,1,100%,-,0,0,"['Artificial intelligence , Biology , Botany , Computer science , Data science , Economics , Element (criminal law) , Field (mathematics) , Identification (biology) , Image (mathematics)']",no current information
253,Tongguang Wang,https://www.lens.org/lens/orcid/0000-0003-0195-5661/scholar,4,50%,3,61,0,"['Biology , Cell biology , Endogenous retrovirus , Stem cell , Allele , Carcinogenesis , Cell growth , Central nervous system , Embryonic stem cell , Epigenetics']",no current information
254,SUZANA SANTOS,https://www.lens.org/lens/orcid/0000-0002-5583-3128/scholar,77,43%,24,"1,431",2,"['Chemistry , Biology , Botany , Essential oil , Horticulture , Chemical composition , Traditional medicine , Food science , Composition (visual arts) , Cytotoxicity']",Universidade Federal de Goiás
255,Angela Fonseca,https://www.lens.org/lens/orcid/0000-0003-1083-2794/scholar,13,57%,2,50,0,"['Medicine , Internal medicine , Menopause , Gynecology , Humanities , Testosterone (patch) , Art , Breast cancer , Cancer , Cross-sectional study']",Fundação Faculdade de Medicina
256,Marcus de Melo Teixeira,https://www.lens.org/lens/orcid/0000-0003-1763-3464/scholar,26,100%,6,234,0,"['Biology , Genetics , Gene , Population , Zoology , Ecology , Genome , Medicine , Microbiology , Paracoccidioides']",University of Brasília
257,"Moraes, L. M. P.",https://www.lens.org/lens/orcid/0000-0002-4293-304X/scholar,29,54%,17,"1,233",40,"['Biology , Biochemistry , Saccharomyces cerevisiae , Yeast , Amylase , Heterologous expression , Microbiology , Molecular biology , Genetics , Paracoccidioides brasiliensis']",Universidade de Brasília
258,Bruno Coraucci Neto,https://www.lens.org/lens/orcid/0000-0002-3413-1653/scholar,1,100%,-,0,0,"['Anthropometry , Athletes , Blood pressure , Body mass index , Economic growth , Economics , Environmental health , Family medicine , Gerontology , Health care']",no current information
259,Ricardo Titze-de-Almeida,https://www.lens.org/lens/orcid/0000-0002-5019-4742/scholar,32,75%,17,850,8,"[""Biology , Medicine , Microbiology , Chemistry , Parkinson's disease , microRNA , Dopaminergic , Gene silencing , Internal medicine , Neuroprotection""]",no current information
260,Fernando Gonçalves,https://www.lens.org/lens/orcid/0000-0003-4886-3166/scholar,9,20%,-,0,0,"['Art , Photography , Art history , Contemporary art , Humanities , Representation (arts) , Aesthetics , Anachronism , Computer science , Critical discussion']",Universidade do Estado do Rio de Janeiro
261,Maria Sueli Felipe,https://www.lens.org/lens/orcid/0000-0003-4347-6853/scholar,32,95%,9,341,3,"['Biology , Microbiology , Chemistry , Biochemistry , Biotechnology , Fermentation , Virulence , Bagasse , Food science , Cryptococcus neoformans']",no current information
262,Huaping Wang,https://www.lens.org/lens/orcid/0000-0002-6096-5256/scholar,10,100%,6,177,0,"['Composite material , Materials science , Fiber Bragg grating , Optical fiber , Structural health monitoring , Carbon fiber reinforced polymer , Composite number , Engineering , Fiber , Structural engineering']",no current information
263,Jianwu Li,https://www.lens.org/lens/orcid/0000-0002-8632-4334/scholar,32,52%,10,299,1,"['Artificial intelligence , Computer science , Machine learning , Biology , Chemistry , Computer vision , Mathematics , Pattern recognition (psychology) , Agronomy , Economics']",no current information
264,Xu Yidong,https://www.lens.org/lens/orcid/0000-0003-2477-9736/scholar,9,57%,4,25,0,"['Computer science , Algorithm , Electronic engineering , Underwater , Engineering , Applied mathematics , Artificial intelligence , Computer vision , Dipole , Electric field']","College of Information and Communication Engineering, Ph.D"
265,liqun chen,https://www.lens.org/lens/orcid/0000-0003-3793-6788/scholar,0,-,-,0,0,[''],no current information
266,Zhiqiang Du,https://www.lens.org/lens/orcid/0000-0002-5173-806X/scholar,6,40%,1,2,0,"['Computer science , Computer security , Machine learning , Algorithm , Ant colony , Ant colony optimization algorithms , Application layer , Artificial intelligence , Artificial neural network , Business logic']",Xi'an Technological University
267,Zhengyao,https://www.lens.org/lens/orcid/0000-0002-5911-7110/scholar,35,93%,12,620,0,"['Climatology , Geology , Environmental science , Oceanography , Holocene , Climate change , Climate model , Geography , Glacial period , Paleoclimatology']",Lund University
268,Zhanglin Lin,https://www.lens.org/lens/orcid/0000-0002-5223-7013/scholar,9,44%,2,24,2,"['Chemistry , Biochemistry , Computational biology , Computer science , Gene , Intein , Protein engineering , Artificial intelligence , Chromatography , Combinatorial chemistry']",Tsinghua University
269,Chen Ping,https://www.lens.org/lens/orcid/0000-0001-6707-5419/scholar,1,-,-,0,0,"['Algorithm , Computer science , Gaussian function , Integral transform , Iterative reconstruction , Line (geometry) , Line integral , Projection (set theory) , Radial line , Radon transform']",North University of China
270,Chen bo,https://www.lens.org/lens/orcid/0000-0003-0611-6920/scholar,1,-,1,7,0,"['Anatomy , Fibroblast growth factor receptor 3 , Medicine , Morphology study , Radiography , Rehabilitation interventions , Scoliosis , Sternum , Thoracic vertebrae , Thorax']",Third Military Medical University Daping Hospital and Research Institute of Surgery
271,Tong Yi,https://www.lens.org/lens/orcid/0000-0001-5548-8195/scholar,1,-,1,2,0,"['Computer science , Data mining , Fuzzy logic , Metric (mathematics) , Object-oriented programming , Quality (business) , Software , Software measurement , Software quality , TOPSIS']",Jiangxi University of Finance and Economics
272,yang xiaofeng,https://www.lens.org/lens/orcid/0000-0003-2555-1354/scholar,2,-,2,11,0,"['Anastomosis , Biology , Cancer research , Colorectal cancer , Colorectal surgery , Fistula , Gene , Gene expression profiling , Immune system , Incidence (epidemiology)']",Third Affiliated Hospital of Sun Yat-sen University
273,li jiahui,https://www.lens.org/lens/orcid/0000-0001-7413-9118/scholar,1,100%,1,5,0,"['Angiography , Computed tomography angiography , Conventional PCI , Coronary artery disease , In patient , Medicine , Percutaneous coronary intervention , Radiology , Statistical significance , Total occlusion']",no current information
274,xianxing meng,https://www.lens.org/lens/orcid/0000-0002-3486-5016/scholar,2,100%,1,2,0,"['Chemical engineering , Chemistry , Engineering , Biochemistry , Composite material , Dispersion (optics) , Enhanced oil recovery , Formaldehyde , Materials science , Membrane']",no current information
275,Giles,https://www.lens.org/lens/orcid/0000-0002-2329-6903/scholar,1,100%,1,1,0,"['Cohort , Cohort study , Combination therapy , Confidence interval , Ezetimibe , Internal medicine , Logistic regression , Medicine , Odds ratio , Retrospective cohort study']",no current information
276,Joyce Patrick,https://www.lens.org/lens/orcid/0000-0001-5135-9118/scholar,8,29%,5,440,9,"['Bacillus subtilis , Biology , Swarming motility , Microbiology , Swarming (honey bee) , Bacteria , Cell biology , Flagellum , Gene , Mutant']",Truman State University
277,Viviane Kremling,https://www.lens.org/lens/orcid/0000-0002-4877-2902/scholar,1,100%,-,0,0,"['Antigen , Biology , Cell biology , Docking (animal) , Genetics , Glycoprotein , Major histocompatibility complex , Medicine , Nursing , Receptor']",Freie Universität Berlin
278,Michael Andreas,https://www.lens.org/lens/orcid/0000-0001-8871-3053/scholar,8,50%,3,29,0,"['Chemistry , Biophysics , Biochemistry , Biology , Nanocages , Enzyme , Catalysis , Compartmentalization (psychology) , Materials science , Nanobiotechnology']",University of Michigan
279,Vladimir Alexandrovich Ushakov,https://www.lens.org/lens/orcid/0000-0003-4980-5582/scholar,0,-,-,0,0,[''],Saint Petersburg State University
280,Dorota Klejn,https://www.lens.org/lens/orcid/0000-0002-1736-4535/scholar,4,-,3,25,0,"[""Chromatography , Ethylene glycol dimethacrylate , Molecularly imprinted polymer , Monomer , Bovine serum albumin , Chemistry , Materials science , Polymer , Solid phase extraction , 3,3'-Diindolylmethane""]",no current information
281,Ge He,https://www.lens.org/lens/orcid/0000-0002-7593-1585/scholar,3,100%,1,3,0,"[""Finite element method , Mechanics , Medicine , Mesoscale meteorology , Physics , Alzheimer's disease , Aortic valve , Biology , Brain size , Brain tissue""]",no current information
282,Anne Grete Frøstrup,https://www.lens.org/lens/orcid/0000-0002-9618-8137/scholar,3,100%,-,0,0,"['Atopic dermatitis , Dermatology , Disease , Internal medicine , Medicine , Nursing , Quality of life (healthcare) , Archaeology , Association (psychology) , Bachelor']",no current information
283,Iding Haidir,https://www.lens.org/lens/orcid/0000-0003-2994-2942/scholar,2,50%,2,15,0,"['Camera trap , Geography , Agroforestry , Biological dispersal , Deforestation , Ecology , Landscape connectivity , Landscape ecology , Leopard , Neofelis diardi']",Ministry of Forestry Republic of Indonesia
284,Lars M. Rimol,https://www.lens.org/lens/orcid/0000-0002-1243-0396/scholar,38,84%,24,"2,238",0,"['Psychology , Audiology , Neuroscience , Schizophrenia , Bipolar disorder , Biology , Dichotic listening , Magnetic resonance imaging , Genetics , Single-nucleotide polymorphism']",no current information
285,Martin Diers,https://www.lens.org/lens/orcid/0000-0002-3257-7299/scholar,68,64%,23,"1,657",15,"['Medicine , Psychology , Physical medicine and rehabilitation , Chronic pain , Functional magnetic resonance imaging , Neuroscience , Phantom limb pain , Physical therapy , Amputation , Back pain']",Ruhr-Universität Bochum
